"Protein IDs","Gene names","LFQ intensity KO_MITOS_22","LFQ intensity KO_MITOS_23","LFQ intensity KO_MITOS_24","LFQ intensity KO_TOTALS_22","LFQ intensity KO_TOTALS_23","LFQ intensity KO_TOTALS_24","LFQ intensity WT_MITOS_22","LFQ intensity WT_MITOS_23","LFQ intensity WT_MITOS_24","LFQ intensity WT_TOTALS_22","LFQ intensity WT_TOTALS_23","LFQ intensity WT_TOTALS_24"
"Q5R372-2;Q5R372-4;Q5R372;Q5R372-3","RABGAP1L",0,0,0,0,0,0,0,0,0,0,0,0
"Q5R3I4","TTC38",0,0,0,12793000,10715000,30060000,0,0,0,9669400,0,9336600
"Q5RI15;Q5RI15-2","COX20",88873000,75264000,108650000,35540000,65457000,21043000,116590000,76438000,76615000,16514000,53697000,27860000
"Q5RKV6","EXOSC6",0,24792000,9219400,40281000,43917000,43212000,0,11806000,22354000,25063000,56697000,38493000
"Q5SNT2;Q5SNT2-2","TMEM201",5741200,14543000,5121500,12398000,16575000,6180600,7279900,6591900,10278000,4033300,24620000,7443400
"Q5SQI0-7;Q5SQI0-6;Q5SQI0-5;Q5SQI0-4;Q5SQI0-3;Q5SQI0","ATAT1",0,0,0,0,0,0,0,0,0,0,0,0
"Q5SQN1-3;Q5SQN1-4;Q5SQN1-2;Q5SQN1","SNAP47",0,9148400,6948300,0,4654900,0,10953000,15520000,19818000,0,5969200,0
"Q5SRE5-2;Q5SRE5","NUP188",55376000,51817000,32365000,31285000,36692000,54377000,20722000,34233000,25187000,19589000,37303000,25892000
"Q5SSJ5;Q5SSJ5-2;Q5SSJ5-3;Q5SSJ5-5","HP1BP3",3096100,193160000,38999000,183670000,316420000,357040000,6865900,47884000,10887000,72329000,324900000,207700000
"Q5ST30-4;Q5ST30;Q5ST30-3","VARS2",113900000,112790000,117460000,46528000,52628000,34818000,109590000,88995000,99276000,34569000,45456000,37261000
"Q5SVS4;Q5SVS4-2","SLC25A30",0,0,0,0,8113500,0,0,0,0,0,0,0
"Q5SW79-2;Q5SW79-3;Q5SW79;Q96L14","CEP170",0,7936300,0,14426000,10699000,42997000,0,0,0,16743000,9578200,18436000
"Q5SWA1","PPP1R15B",0,0,0,0,0,0,0,0,0,0,0,0
"Q5SWX8;Q5SWX8-3;Q5SWX8-4;Q5SWX8-2","ODR4",26632000,29282000,29063000,18518000,13787000,19232000,24029000,22684000,21923000,16080000,21492000,10122000
"Q5SXM8","DNLZ",27803000,26477000,29711000,0,18110000,0,39492000,0,24502000,0,0,0
"Q5SY16","NOL9",0,4440700,0,29714000,34557000,59550000,0,4416000,3021000,27995000,83041000,34537000
"Q5SZK8;Q5SZK8-2","FREM2",0,0,0,0,0,0,0,0,0,0,0,0
"Q5T0D9-2;Q5T0D9","TPRG1L",0,0,0,0,0,0,0,0,0,0,0,0
"Q5T0F9-3;Q5T0F9-2;Q5T0F9","CC2D1B",0,0,0,0,0,0,0,0,0,0,0,0
"Q5T0N5-3;Q5T0N5-4;Q5T0N5-2;Q5T0N5-5;Q5T0N5","FNBP1L",7196000,21884000,17692000,0,12376000,61363000,14113000,56247000,15530000,0,0,0
"Q5T160","RARS2",83897000,62427000,53339000,39032000,42461000,21710000,85262000,63757000,55377000,29055000,37649000,30385000
"Q5T1C6","THEM4",21510000,21516000,0,0,15580000,0,63262000,44682000,36941000,24888000,18051000,32239000
"Q5T1M5;Q5T1M5-2;Q5T1M5-3","FKBP15",8682700,8809000,9016800,7681400,7391300,0,0,10596000,12781000,10534000,6420700,7718800
"Q5T1V6-2;Q5T1V6","DDX59",0,0,0,0,0,0,0,0,0,0,0,0
"Q5T200;Q5T200-2","ZC3H13",0,0,0,12055000,9725100,7499300,0,0,0,4956700,18621000,16114000
"Q5T280","C9orf114",0,0,0,21084000,15078000,14301000,0,0,0,14085000,36259000,25432000
"Q5T2R2;Q5T2R2-3;Q5T2R2-2","PDSS1",22542000,13862000,8363000,5945300,0,0,21249000,23725000,12957000,0,0,7667500
"Q5T2T1;Q5T2T1-2","MPP7",49675000,87753000,35584000,8260500,22936000,10943000,26639000,108810000,67909000,12789000,12144000,19630000
"Q5T3I0-3;Q5T3I0;Q5T3I0-2","GPATCH4",0,0,0,6158300,6203200,8085300,0,0,0,10824000,12607000,8617100
"Q5T3J3-2;Q5T3J3","LRIF1",0,0,0,10130000,8740300,0,0,0,0,0,12846000,9127800
"Q5T3U5-2;Q5T3U5","ABCC10",10999000,5195500,3513800,4792200,4326300,4546500,8730900,6270000,11512000,0,5134700,0
"Q5T440","IBA57",362410000,225830000,276290000,101310000,121650000,94808000,265880000,221450000,215360000,89838000,98099000,110300000
"Q5T447;Q5T447-2","HECTD3",0,0,0,8223000,6661100,26744000,0,0,0,5684400,5989200,8872100
"Q5T4B2-2;Q5T4B2","CERCAM",0,0,0,0,0,0,0,0,0,0,0,0
"Q5T4S7-3;Q5T4S7-4;Q5T4S7;Q5T4S7-2;Q5T4S7-5;Q5T4S7-6","UBR4",1571900,1757200,1046100,10730000,13146000,63717000,1044600,1555700,3791100,44545000,10757000,10311000
"Q5T5X7","BEND3",0,0,0,3124000,4526200,19102000,0,0,0,3893000,9797400,5513500
"Q5T653","MRPL2",474360000,242410000,427000000,115730000,117880000,61053000,320310000,253230000,228450000,101960000,115830000,89515000
"Q5T6F2;Q5T6F2-2","UBAP2",0,0,0,8353000,0,17463000,0,0,0,12425000,6312200,7075500
"Q5T6V5","C9orf64",0,0,0,13076000,0,0,0,0,0,19104000,10049000,11106000
"Q5T8D3-2;Q5T8D3-3;Q5T8D3;Q5T8D3-4","ACBD5",29597000,30213000,38750000,18391000,25852000,19162000,56447000,55446000,69902000,22682000,39528000,31965000
"Q5T8P6-3;Q5T8P6-2;Q5T8P6;Q5T8P6-5;Q5T8P6-4;Q5T8P6-6","RBM26",0,0,0,0,0,38020000,0,0,0,0,0,0
"Q5T9A4;Q5T9A4-3;Q5T9A4-2","ATAD3B",481160000,264070000,364400000,108390000,231240000,85831000,476510000,355340000,498020000,162770000,289990000,168070000
"Q5T9L3-2;Q5T9L3-3;Q5T9L3","WLS",0,0,0,0,0,0,0,0,0,0,0,5771700
"Q5TA45-2;Q5TA45-4;Q5TA45-3;Q5TA45;Q5TA45-5","CPSF3L",0,4363900,0,5321800,4828300,27136000,0,0,0,0,4465300,4339100
"Q5TAQ9;Q5TAQ9-2","DCAF8",0,0,0,17504000,14117000,56084000,0,0,0,19958000,16516000,30570000
"Q5TBB1;Q5TBB1-2","RNASEH2B",0,0,0,0,0,14993000,0,0,0,0,0,0
"Q5TC12;Q5TC12-2","ATPAF1",75725000,57060000,60609000,55643000,52004000,36402000,50267000,38741000,43693000,58764000,36961000,63616000
"Q5TCZ1-2;Q5TCZ1-3;Q5TCZ1","SH3PXD2A",0,0,0,0,0,0,0,0,0,0,0,0
"Q5TDH0-3;Q5TDH0;Q5TDH0-2","DDI2",0,0,0,8799400,6425900,35990000,0,0,0,21859000,7435700,9540800
"Q5TEC6","HIST2H3PS2",23117000,339120000,151730000,1454500000,1479400000,1076900000,67756000,238270000,94132000,824310000,1917600000,2010400000
"Q5TEU4;Q5TEU4-2","NDUFAF5",37431000,36973000,46989000,5501100,10406000,17557000,28488000,28255000,18121000,9317600,8815600,0
"Q5TFE4;Q5TFE4-2","NT5DC1",0,0,0,3606200,2441200,42602000,0,0,2876300,5944800,3337600,2638100
"Q5TGZ0;Q5TGZ0-2","MINOS1",35382000,40090000,53060000,45542000,72520000,0,81080000,46853000,62492000,27398000,58416000,63103000
"Q5THK1-2;Q5THK1-4;Q5THK1;Q5THK1-3","PRR14L",0,197630000,207030000,0,155000000,0,298550000,251820000,292590000,121160000,187390000,0
"Q5U5X0","LYRM7",717200000,498840000,707040000,162650000,200720000,143630000,403800000,332220000,274520000,134230000,110760000,153350000
"Q5UCC4-2;Q5UCC4","EMC10",67497000,56342000,71925000,66941000,78743000,30820000,82354000,80386000,99643000,63930000,63689000,68837000
